JURADO | TANGO PISTA CLASIFICATORIAS - 23 DE AGOSTO A                                                                                               z

                                                                                                                                                    z

RONDA  PAREJA  Nombre y Apellido                       Nombre y Apellido                  Maria Ines  Monica  Ricardo Calvo  Carolina     Pablo        PROMEDIO

                                                                                          Bogado      Matera                 Bonaventura  Giorgini

2   386  Raphaël Le Vanic                      Solène Pucheu                   6.750  7.280  7.500  6.990  6.750  7.054

15  89   Rodolfo Ariel López                   Carina Alejandra Santillán      7.100  7.050  7.350  6.760  7.000  7.052

14  681  Martín Sardi                          Luján Zunino                    7.150  7.860  6.900  6.400  6.900  7.042

7   792  Marcos Rafael Ruiz Diaz               María Laura Correa              6.350  7.520  6.900  7.480  6.950  7.040

12  34   Marcelo Ortiz                         Silvia susana Sanchez           6.900  6.750  7.300  7.650  6.600  7.040

9   697  Maximiliano Broggi                    Anna Goreva                     6.950  7.500  7.400  6.750  6.550  7.030

13  802  Giovanni                              violeta                         7.300  6.900  7.300  6.930  6.700  7.026

11  800  Pablo Peralta                         Andrea Lopez                    7.300  6.700  7.200  6.730  7.150  7.016

6   519  Lautaro Figueroa                      Lucía Hernandez                 6.900  7.400  7.600  6.750  6.300  6.990

11  276  Alejandro Coria                       Victoria Gomez Mendoza          7.150  7.100  7.000  6.720  6.900  6.974

8   496  Matias Gamarra                        Paula Rodriguez                 6.700  7.450  7.100  6.800  6.800  6.970

14  536  Josimar Lima                          Davila Zampieri                 6.800  7.600  7.100  6.650  6.700  6.970

5   382  Iskandar Zulkarnain Bin Mumtaz Ahmad  Alyzsa Vun Hui Lim              6.850  6.350  7.300  6.980  7.150  6.926

1   398  DANIEL CONSTANTIN                     IRINA PAULA STEFANESCU          6.650  7.620  7.300  6.200  6.750  6.904
1   160  OSCAR GAUNA                      CECILIA DIAZ                        7.650  7.050  6.800  7.000  6.000  6.900

4   641  Dante Chiola                     Silvia Giraudo                      6.600  7.700  6.900  7.360  5.750  6.862

15  241  Walter Javier Ramirez            Rocio Belen Maranzana               6.900  6.500  7.000  6.730  6.800  6.786

2   315  Federico Votti                   Elisabet Lordi                      6.500  7.220  7.100  7.050  6.050  6.784

8   332  Gonzalo Martinez                 Lai Peng Ching                      6.750  6.950  7.150  6.970  6.100  6.784

4   369  Eusebio Vargas                   Miriam Trinidad Laje                6.300  6.700  7.100  7.100  6.650  6.770

14  644  Valentin Zerpa Rivetti           Eva Salomon Trinckler               6.950  6.550  6.900  6.860  6.550  6.762

15  579  Rafael Alberto Figueroa          Alejandra Jesus Galvan              6.850  7.000  6.500  6.890  6.550  6.758

3   654  Claudio Bethular                 Iris karina Rey                     6.600  6.600  7.650  6.820  6.100  6.754

5   127  Claudio Raul Cordi               Rocio Jazmin Godoy                  6.700  6.400  7.000  6.700  6.950  6.750

12  383  rodolfo lencina                  leticia cinich                      7.100  6.050  7.350  7.000  6.200  6.740

6   651  Facundo Correa                   Stephanie Vargas Cruz               6.850  6.400  7.500  6.780  6.100  6.726

2   432  Franco Ivan Martinez             Vanessa del rosario vega carhualla  6.850  6.150  7.500  7.100  6.000  6.720

12  227  Hugo Victor Merelez              Teresita Barrera                    7.200  6.080  7.000  6.980  6.250  6.702

7   236  Gabriel Alejandro Pichun         Susana Noemi Merino Cisneros        6.600  7.100  7.200  6.800  5.800  6.700

11  248  Bayu Rizki Aji                   Noverida Rachmawati Bastian         6.950  6.400  7.100  6.600  6.350  6.680

2   76   Dilceu Rosa                      Marisa Garcia                       7.100  6.000  6.800  6.800  6.600  6.660

5   307  Nora Lezana                      Oscar Holzmann                      6.500  6.150  7.100  6.600  6.900  6.650

3   259  Ilmari Mäng                      Maria Zujeva                        6.800  6.450  7.000  6.700  6.150  6.620

6   412  Javier Juan Horacio Muñoz        María Florencia Del Manzo           6.700  6.300  6.900  6.650  6.550  6.620

4   366  Mario Mendes Ribeiro             Diana Ramírez Ecignard              6.450  6.500  7.000  7.050  5.950  6.590

12  268  Héctor Julio Juri                María Rosa Cozzi                    6.700  6.780  7.150  6.720  5.600  6.590

2   577  JUAN GABRIEL CONTRERAS ZAPATA    SANDRA LORENA ROJAS DIAZ            6.400  6.050  7.600  6.800  6.100  6.590

12  113  Horacio Luis Bistagnino          Norma Catalina Alegre               6.500  6.700  7.450  6.720  5.550  6.584

3   218  Alejandro Carranza Arriaga       Andrea Karina Viveros Cerecero      6.750  6.480  7.100  6.850  5.650  6.566

3   271  Juan María Ponce                 Miho Namatame                       6.500  6.420  7.200  6.750  5.950  6.564

13  117  Nicolás Alberto Alvarado         Liubov Konoreva                     6.850  6.400  6.600  6.610  6.000  6.492

9   287  Alberto Eduardo Zottele Allende  Claudia Victoria Ballestero         7.000  6.280  6.500  6.830  5.800  6.482

7   405  RICARDO ROMERO                   YOLANDA DEL CARMEN BUSTAMANTE       6.300  7.000  6.800  6.650  5.600  6.470

7   475  Victor raul Ainciart             Maria Magdalena Barrutia            6.200  7.050  6.700  6.630  5.750  6.466

11  345  Nahuel Nicolas Astudillo         Antonella Rita Nicolasa Brizuela    6.850  6.300  6.900  6.610  5.650  6.462

9   72   Mario Anibal Gallardo            Maria Rosa Roldan                   6.750  6.300  6.700  6.840  5.650  6.448

3   353  Victor Salvador Ramirez          Jorgelina Margarita Maldonado       6.300  6.030  7.150  6.610  5.850  6.388

13  602  Maximiliano Jerez                Graciela Genebro                    6.750  6.300  7.000  5.800  6.050  6.380

4   21   juan carlos quinterno            ernestina camacho mendoza           6.900  6.150  6.500  6.750  5.500  6.360

12  32   Juan Carlos Esposito             Celia Victoria Borgatello           7.000  6.020  6.200  6.870  5.500  6.318

4   418  Guillermo Gaitán                 Ghina Chang                         6.200  6.100  6.600  6.960  5.500  6.272
14  786  Gustavo Lasquibar       Juliana De Juan          6.800  6.500  5.800  6.000  6.250  6.270

3   100  Sebastián Capitanelli   María Laura Quintas      6.150  6.000  6.500  6.600  5.650  6.180

1   134  Paolo Viaggi            Ilaria Napoleone         6.100  6.000  6.800  5.600  5.950  6.090

3   213  Vladimir Venerov        Nataliia Venerova        5.700  6.300  6.500  6.200  5.600  6.060

12  254  Carlos Alberto Gimenez  Diana Monica Endstorfer  6.300  6.000  6.000  6.000  5.500  5.960

