JURADO | TANGO PISTA CLASIFICATORIAS - 24 DE AGOSTO D                                                                                   z

                                                                                                                                        z

RONDA  PAREJA  Nombre y Apellido                       Nombre y Apellido       Laila Rezk  Fernando  Graciela  Silvina Valz  Sebastian     PROMEDIO

                                                                                           Carrasco  Gonzalez                Bolivar

20  711  Yoon Jioh                      Melina Solera garibaldi     6.050  6.450  5.500  5.950  5.400  5.870

25  712  Dardo Julián Carabajal         Anabella Inés Piluso        6.090  5.750  5.200  6.450  5.500  5.798

16  257  Gustavo Cazón                  Chiara Colombo              6.180  5.750  5.500  5.950  5.500  5.776

26  364  Gustavo Puma Nogueira          Jane Leung                  6.210  5.950  5.200  6.000  5.500  5.772

23  30   victor daniel conca            claudia marcela brino       5.850  6.000  5.400  5.850  5.650  5.750

25  422  Federico Nicolás Pérez Berzal  Luciana Placco              5.530  5.760  5.400  6.400  5.400  5.698

22  775  Brian Ariel Cardoso            Maria Laura Miño Alvarez    5.720  5.800  5.200  5.900  5.800  5.684

