JURADO  |  TANGO PISTA  SEMIS- 29 DE AGOSTO                                                                                                           z

                                                                                                                                                      z

RONDA      PAREJA       Nombre y Apellido        Nombre y Apellido                 Moira       Stella Baez  Daniel     Dante    Facundo de  Jimena       PROMEDIO

                                                                                   Castellano               Naccuchio  Sanchez  la Cruz     Hoeffner

4   733  Magdalena del Milagro Yrahola    Hector Abel Colque                8.580  8.550  8.151  7.900  7.900  8.100  8.197

15  23   Santiago Marolo                  Luna Mendez                       8.250  8.450  8.480  8.000  8.010  7.900  8.182

14  726  Natalia Casanova                 Damian Marquez Veron              8.260  8.700  8.250  7.800  8.020  8.050  8.180

5   652  Franz alvaro Bravo basso         Marta Kubicz                      8.550  8.150  8.790  7.950  7.820  7.800  8.177

4   465  Andrés Martínez                  Fernanda Cardona Sossa            8.480  8.300  8.380  7.800  8.180  7.900  8.173

10  313  Alejandro Ferreyra               Fernanda Grosso                   8.470  7.800  8.200  8.000  8.010  8.450  8.155

12  722  Mariel Quintana Grasso           Cristian Quevedo                  8.470  8.250  8.018  8.150  8.020  8.000  8.151

15  630  Guilherme Ferreira               Eliza Moritz                      8.650  8.370  8.101  7.500  8.180  8.100  8.150

8   424  Diego ali Delgado                Tamara Borda                      8.530  8.570  7.950  7.900  7.950  8.000  8.150

12  136  Yumar Zambrano                   Mariel Filadoro                   7.980  8.350  8.530  7.980  8.120  7.900  8.143

4   94   Julio Azorin                     Belén Valdez                      8.450  7.900  8.400  7.950  8.200  7.950  8.142

11  708  GABRIEL EDUARDO TOLABA           YANINA ANDREA CEBALLO HOYOS       8.250  8.200  8.340  7.800  8.450  7.800  8.140

9   720  Sara Lupparelli                  Byron Alonso Torres               8.150  8.510  8.010  7.800  8.110  8.250  8.138

3   190  Raúl Pardo                       Evrim Kivancer                    8.220  7.850  8.500  8.500  7.720  8.000  8.132

6   414  Damián Roezgas                   Amira Luna Zarate                 8.440  8.000  8.080  7.990  8.050  8.200  8.127

12  724  Wonjun Seol                      Hyemi Seo                         8.420  7.820  8.300  7.900  8.410  7.890  8.123

1   246  Alejandro Quaglia                Lucia Barrios                     7.750  8.300  8.730  7.600  8.130  8.200  8.118

3   575  Miguel Francisco Coria           Yael Nahir Ferrarelli Fontanella  8.550  8.200  8.220  8.350  7.530  7.850  8.117

16  532  JORGE PADILLA                    Ana Zoraida Gomez                 8.280  7.850  8.170  8.250  7.950  8.200  8.117

7   743  Elio Daniel Avila                Andrea Guassardo                  7.880  7.890  8.900  8.000  8.010  8.000  8.113

5   487  Matías Cabezuelo                 Nicole Mazza                      8.440  8.250  8.004  8.100  8.070  7.800  8.111

6   147  Walter Schefer                   Silvina Hirschfeld                8.370  7.900  8.990  7.400  8.060  7.900  8.103

9   379  Lucio Javier Chavez              Nina Pauluzzi                     8.590  8.050  7.850  7.750  7.920  8.350  8.085

12  122  Mariano Vazquez                  Lulú Qin                          8.150  7.800  8.470  8.250  7.930  7.900  8.083

7   378  Adrian De Gregorio               Romina Cides                      7.950  8.400  7.920  8.000  8.000  8.200  8.078

14  618  Aldana Lozano rueda              César Javier Ferreyra             8.150  8.000  8.200  7.800  8.010  8.300  8.077

12  462  Mariano Serrudo                  Ekaterina Malko                   8.050  8.000  8.012  8.000  8.080  8.250  8.065

2   16   Joel Maximiliano Tempestti       Águeda Jimena Mansilla            7.700  8.000  8.320  7.500  8.210  8.650  8.063

2   133  Fernando De Campos               Debora Ambrosano                  8.150  8.780  7.970  7.600  7.640  8.200  8.057

12  177  Maximiliano Astorga              Fernanda Valenzuela               8.100  7.890  8.150  8.000  7.950  8.150  8.040

16  272  Pedro Ochoa                      Lola Ruiz                         8.200  7.900  8.200  7.750  8.040  8.100  8.032

10  222  Nahuel ARAGON                    Evelyn Ponce                      7.890  7.880  8.007  7.800  8.260  8.350  8.031

2   522  Jorge Calabrigo                  Tiziana Silva                     7.920  7.650  8.008  8.200  7.890  8.500  8.028

11  118  NICOLAS PONCE                    GRETA HEKIER                      8.400  7.800  8.270  8.200  7.480  8.000  8.025

6   340  Jonathan Cañete                  Jessica Estigarribia              8.330  7.750  7.980  7.500  8.110  8.450  8.020
10  744  Tony Barrios              Silvia Fassio                  7.850  8.200  8.980  7.500  7.740  7.800  8.012

1   791  Ezgi Turmuş Binici        Lourdes Medina                 7.730  8.380  8.720  7.500  8.010  7.700  8.007

1   773  Matias Ezequiel Vallejos  Aldana Mileva Godoy Calligari  7.680  7.850  8.550  7.800  7.750  8.300  7.988

2   491  Javier Oscar Jofre        Paola Susana Valdivia          8.220  8.480  8.580  7.300  7.510  7.700  7.965

7   179  MIGUEL GARCIA             Sandra Martinez                7.900  8.700  7.890  7.400  7.880  7.900  7.945

3   768  Andrey Prokopov           Olha Kozyavkina                7.880  8.100  8.210  8.000  7.680  7.800  7.945

2   282  Rommel Oramas             Utha Callen                    8.000  8.260  8.499  7.700  7.540  7.650  7.942

2   343  LUIS EMILIO CAPPELLETTI   vittoria franchina             7.880  8.450  8.011  7.750  7.660  7.850  7.934

13  264  Mario Gavito              Jessica Moreno                 7.850  8.050  7.990  7.800  8.070  7.800  7.927

1   357  Grzegorz Kałmuczak        Dominika Jasik                 7.670  8.560  8.001  8.000  7.560  7.700  7.915

1   464  Alexis Arie Velasquez     Laura Florencia Guardia        8.150  7.700  8.005  7.800  7.780  7.750  7.864

