JURADO  |  TANGO PISTA  CUARTOS - 27 DE AGOSTO   B                                                                                        z

                                                                                                                                          z

RONDA      PAREJA       Nombre y Apellido           Nombre y Apellido               Daniel     Dante    Stella Baez  Claudia  Pablo Inza     PROMEDIO

                                                                                    Naccuchio  Sanchez               Codega

18  545  Orhan Tekşen              elena akhmetova              7.005  6.500  7.000  5.970  6.820  6.659

18  622  Benjamín Grisoni          Anabel Fontela               6.970  6.700  6.750  5.960  6.760  6.628

16  75   Walter Mario Tejeda       Clara Rosa Poggi             6.998  6.700  6.800  5.990  6.540  6.606

16  182  Gustavo Rau               Julia Saquieres              7.220  6.300  6.600  5.980  6.520  6.524

16  229  Ruben Dario Malaver       Silvia Graciela Ercolani     6.850  6.400  6.700  6.020  6.630  6.520

18  591  Alejandro Javier Astuena  Gabriela Lorena Ocaño casas  6.300  6.800  6.550  6.000  6.780  6.486

