JURADO  |  TANGO PISTA  CUARTOS - 27 DE AGOSTO A                                                                                                    z

                                                                                                                                                    z

RONDA      PAREJA       Nombre y Apellido              Nombre y Apellido                 Moira Castellano  Ernesto    Jimena    Demian  Facundo de     PROMEDIO

                                                                                                           Balmaceda  Hoeffner  Garcia  la Cruz

15  671  Francisco De Freitas        Melina Castro                    6.850  6.980  7.300  7.100  7.000  7.046

6   489  Franco Luciano Cespi        Karina Daluda                    7.750  6.300  7.500  7.000  6.650  7.040

3   638  Andres Rojas                Simin Ogur                       7.280  6.950  7.000  6.900  7.000  7.026

10  185  SANTIAGO SALAZAR BOTERO     MARIA ALEJANDRA OSPINA MARIN     6.850  6.590  7.000  7.000  7.680  7.024

1   468  ilya skripkin               micaela marin                    6.800  7.000  7.550  6.850  6.900  7.020

13  46   DENIS BALLARIN              XIA LI                           6.500  7.350  7.150  6.950  7.150  7.020

5   31   Augusto Giraldo             Leidy Vanessa Restrepo           7.150  7.280  7.200  6.600  6.850  7.016

11  533  Martín Alejo Carreira       Veronica soledad Garcia          6.750  6.950  7.250  7.180  6.950  7.016

5   9    jorge luis olguin           SIGITA LEMESIUTE                 6.800  7.190  7.336  6.850  6.850  7.005

5   390  Sergio Ibanez               Jésica Pierucci                  6.880  6.990  6.900  7.150  7.100  7.004

10  633  Matias Sotto                Lucia Mullins                    6.900  6.900  7.000  7.180  7.000  6.996

1   350  Facundo    Cabral           Mara  Navarro                    7.200  6.970  6.800  6.900  7.000  6.974

4   27   gonzalo Robín               Natalia Brest                    6.770  7.150  7.300  6.600  7.000  6.964

12  700  villa javier agustin        Silvana Fiorentino               7.100  6.900  7.000  6.850  6.850  6.940

1   380  Rodolfo Saile               Jane Lee                         6.750  7.040  7.000  7.100  6.800  6.938

8   645  Leonel Natanael Aguirre     Lilian Mabel Domínguez           6.850  6.600  7.366  7.020  6.850  6.937

7   582  Sebastian  Marco            Shina Nancy                      6.880  7.100  7.350  6.750  6.600  6.936

2   336  Maximiliano Gaston Chollet  Iuliia Dranchuk                  6.780  7.080  7.100  6.900  6.800  6.932

15  777  DARIO ALONSO Pastor         Vanesa cintia González           6.750  7.000  6.900  7.200  6.800  6.930

9   469  Elio Maximiliano Roldan     Lucia Perotti                    6.750  6.810  7.000  6.800  7.150  6.902

1   741  Carolina Marquez            Ezequiel Lescano                 6.900  6.920  7.450  7.150  6.000  6.884

