JURADO  |  TANGO PISTA  CLASIFICATORIAS - 24 DE AGOSTO   C                                                                                            z

                                                                                                                                                      z

RONDA      PAREJA       Nombre y Apellido                   Nombre y Apellido               Maria Ines  Monica  Ricardo Calvo  Carolina     Pablo        PROMEDIO

                                                                                            Bogado      Matera                 Bonaventura  Giorgini

8   666  Lucas Aaron Martin                YOSHIKO TSUTSUMI                 6.750  5.120  7.600  6.400  6.950  6.564

8   5    Emiliano Nahuel Agustín Martínez  Renata Ivone Silveyro            6.650  5.180  7.500  6.610  6.850  6.558

7   55   Manuel Eduardo Romero             Andrea Karina Laboudigue         6.700  5.900  7.100  6.660  6.400  6.552

8   293  RICARDO ROTSZTEIN                 Mariana Panizzi                  6.400  6.900  7.000  6.150  6.000  6.490

4   436  Mario Jose Guliano                Ines Angela De Barbara           6.800  5.420  6.850  6.700  6.650  6.484

2   36   Jonathan walter Villanueva        Jesica Mariela Schnaiderman      6.700  6.000  7.100  6.600  6.000  6.480

7   376  Armando Di Gregorio               Diana Castañeda                  6.400  5.950  7.150  6.600  6.300  6.480

4   303  Alejandro Cola                    Marcela Alejandra Hernandez      6.700  5.400  6.800  6.710  6.500  6.422

12  399  NESTOR BUSTAMANTE                 SUSANA JAUREGUI                  6.450  6.600  7.200  6.000  5.600  6.370

4   186  OMAR Garufa SANCHEZ               Alicia Pasquinelli               6.300  5.600  6.900  6.770  6.250  6.364

8   621  Luis Manuel Votti Sueldo          Morales Olinda Monica            6.700  5.150  7.200  6.350  6.050  6.290

8   661  Nicolás Federico Giacopello       Agustina Donna                   6.300  5.100  7.400  6.000  5.900  6.140

14  620  carlos alberto spinelli           Carolina Estefania Cañete Cigoy  6.500  5.200  7.200  5.700  5.900  6.100
6  616  Alejandro Lijdens  Daniela Luciana Prina  6.700  5.000  5.500  5.600  5.800  5.720

